ExternalDataReference,Finished,Status,Source,Q1_1,Q1_2,Q1_3,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q13,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q17_1,Q17_2,Q17_3,Q17_4,Q18_1,Q18_2,Q18_3,Q19_1,Q19_2,Q19_3
IMGDMajor,1,0,IMGDMajor,1,,,2,2,1,,,,,,2,2,3,3,1,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,2,1,1,3,2,3,2,3,4,3,1,4,2,1,4,3,2,4,2,4,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,1,1,3,,1,,,,,,,,,,,,,,2,1,1,1,1,2,1,1,2,3,2,1,2,3,1,3,3,4,3,2,1,1,2,2,1,3,4,4,4,2,3,3,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,2,1,1,,,,,,2,3,3,3,,,1,,,2,,,,,,,,,,3,2,1,1,1,4,4,3,1,1,1,4,2,4,1,2,2,3,1,1,1,1,1,1,1,4,4,4,1,2,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,3,3,1,1,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,4,4,,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,,,1,1,2,1,,,,,,1,2,2,3,,1,,,,,,,,,,,,,,2,2,1,2,3,3,3,2,2,3,2,3,3,1,3,3,4,4,3,3,3,1,3,2,4,1,2,1,3,2,2,2,2,4,4,2,4,2
IMGDcourse,1,0,IMGDcourse,,,1,1,2,,,,1,,,1,2,3,3,,,1,,,2,,,,,,,,,,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,3,2,4,3,3,3,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,1,2,1,,,,,,2,3,3,3,,,,1,,4,,,,,,,,,,3,1,2,2,2,3,1,2,1,3,2,4,2,4,2,,,,2,2,3,2,4,4,2,,1,4,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,3,3,,1,,,,,,,,,,,,,,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,3,3,3,2,1,3,2,3,4,2,3,3,3,4,3,3,3,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,,1,,1,2,1,,,,,,2,1,1,3,,,,1,,4,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,,1,,1,2,,,,1,,,2,1,2,3,,,,1,,2,,,,,,,,,,3,1,1,1,1,3,2,1,1,1,1,3,1,4,1,3,3,2,3,4,2,1,4,,2,2,3,1,3,2,3,1,4,4,4,3,4,4
IMGDMajor,1,0,IMGDMajor,,1,1,1,2,1,,,,,,1,2,3,3,1,,,,,,,,,,,,,,,2,1,2,3,2,2,2,3,3,3,2,2,3,1,3,3,4,4,2,3,2,1,2,2,2,1,2,2,4,3,4,4,4,4,4,3,4,3
IMGDMajor,1,0,IMGDMajor,1,,,2,2,1,,,,,,2,2,3,3,,,,,1,,3,3,2,3,2,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,4,2,1,3,3,4,4,4,3,3,3,3,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,3,3,3,1,,,,,,,,,,,,,,,2,1,1,1,1,2,1,1,2,2,1,2,3,4,4,2,2,3,1,1,4,1,4,3,4,4,2,3,3,4,4,4,3,3,3,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,1,2,1,,,,,,2,3,3,3,,,1,,,2,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,1,2,2,1,2,2,1,3,2,3,3,3,3,3,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,1,2,1,,,,,,2,2,3,3,,,,1,,2,,,,,,,,,,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,3,3,1,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,,1,,1,2,1,,,,,,2,3,3,3,,1,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,,2,2,3,3,3,4,4,2,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,,1,,2,2,,,,1,,,2,3,3,3,,,,1,,2,,,,,,,,,,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,3,3,,,1,,,1,,,,,,,,,,1,1,1,1,1,2,2,2,1,2,1,2,3,4,2,3,3,3,3,4,4,1,2,1,2,4,3,3,4,1,3,1,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,1,2,1,,,,,,2,2,2,3,,,,1,,3,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,2,3,1,1,1,1,2,3,1,4,4,3,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,1,2,3,1,,,,,,,,,,,,,,,2,1,1,1,1,1,2,2,3,2,2,2,3,3,2,2,3,4,1,1,1,1,2,3,2,4,4,4,4,3,4,3,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,1,1,,,,,,1,2,2,2,3,,,,1,,2,,,,,,,,,,1,2,1,1,1,1,2,2,1,1,1,4,1,3,1,1,1,3,1,1,2,2,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,1,2,3,3,,1,,,,,,,,,,,,,,2,1,1,1,1,1,1,2,1,1,1,3,1,3,1,3,3,3,1,1,1,1,1,2,1,4,4,3,4,3,3,3,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,,1,,2,2,1,,,,,,2,2,3,3,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
IMGDcourse,1,0,IMGDcourse,1,,,1,2,1,,,,,,2,2,3,3,,,1,,,4,,,,,,,,,,3,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,
IMGDcourse,1,0,IMGDcourse,1,,,1,2,1,,,,,,2,2,2,3,,,,1,,2,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,2,3,1,1,2,1,3,3,1,4,3,4,4,4,4,4,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,1,2,1,,,,,,2,2,3,3,,,,1,,1,,,,,,,,,,2,2,2,2,2,1,1,1,2,1,1,2,1,3,2,3,2,2,1,2,3,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,,1,,1,2,1,,,,,,2,3,3,3,,,,1,,3,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,3,1,2,3,1,1,2,3,3,2,3,3,2,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,1,2,3,3,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,3,3,1,1,2,1,3,2,1,3,3,3,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,1,,,,2,1,3,3,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,1,1,2,1,2,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,3,3,3,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,,1,,1,2,1,,,,,,2,2,3,3,,,,1,,4,,,,,,,,,,3,3,1,1,1,3,2,1,3,3,2,3,3,4,3,2,2,2,2,2,4,2,2,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,3,3,3,1,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,1,2,3,2,3,2,2,2,3,2,1,1,1,2,2,2,3,3,3,4,3,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,2,2,,,,1,,,,3,3,3,1,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,2,2,1,1,1,1,1,2,1,4,4,4,3,3,3,2,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,1,2,,1,,,,,2,1,2,3,,,,1,,4,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,1,4,1,4,2,3,4,4,3,1,2,3,3,3,3,1,1,1,4,2,1,1,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,1,2,1,,,,,,2,2,3,3,,,,1,,4,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,2,2,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,1,1,,,1,,,,2,1,1,3,,,,1,,3,,,,,,,,,,2,1,1,1,1,2,2,2,2,3,2,1,1,4,2,2,2,2,1,1,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,1,2,1,,,,,,2,2,3,3,,,,1,,4,,,,,,,,,,1,1,1,1,1,2,1,2,1,1,1,2,1,3,1,3,3,3,1,1,2,2,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,2,2,,,,1,,,2,2,1,3,,,1,,,1,,,,,,,,,,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,1,1,1,1,2,1,3,3,2,4,4,4,4,4,4,4,4,4,4
IMGDcourse,0,0,IMGDcourse,,1,,1,2,1,,,,,,2,1,2,3,,,,1,,4,,,,,,,,,,2,2,2,1,1,2,2,3,2,2,1,4,2,4,2,2,2,3,2,1,4,3,4,3,4,2,2,2,,,,,,,,,,
IMGDcourse,0,0,IMGDcourse,1,,,1,1,1,,,,,,2,2,1,3,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,4,4,3,,,,,,,,,,,,,,,,,,,,
IMGDMajor,0,0,IMGDMajor,,1,,1,2,,1,,,,,1,1,2,3,1,,,,,,,,,,,,,,,3,1,2,2,2,4,2,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMGDcourse,0,0,IMGDcourse,1,,,1,2,1,,,,,,1,2,1,3,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMGDcourse,0,0,IMGDcourse,1,,,1,2,1,,,,,,2,2,1,3,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMGDMajor,1,0,IMGDMajor,1,,,1,1,1,,,,,,2,2,2,3,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,3,3,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,1,2,1,,,,,,2,2,3,3,,,,1,,4,,,,,,,,,,2,1,1,1,1,2,2,1,1,1,2,3,2,2,2,2,2,2,2,2,3,2,3,4,2,3,3,2,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,3,3,3,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,2,2,1,,,,,,2,2,2,3,,1,,,,,,,,,,,,,,2,2,1,1,2,1,2,3,3,2,1,1,1,4,2,1,1,1,1,1,1,1,2,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4
IMGDcourse,0,0,IMGDcourse,1,,,1,2,1,,,,,,2,2,3,3,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMGDcourse,1,0,IMGDcourse,,1,,1,1,,,,,,1,2,3,1,3,,,,1,,4,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,2,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,,,1,1,2,1,,,,,,1,3,4,4,,1,,,,,,,,,,,,,,3,1,1,1,2,2,1,2,2,1,1,2,3,2,3,3,4,4,1,4,4,4,4,4,4,2,1,1,3,1,3,2,2,4,3,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,2,4,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,1,1,1,4,2,2,2,2,3,4,2,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,3,4,,1,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,3,3,3,1,1,1,1,1,3,2,3,4,4,4,3,3,3,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,1,,,1,2,1,,,,,,2,1,3,4,,,,1,,3,,,,,,,,,,2,1,2,1,1,3,2,2,2,2,1,3,1,4,2,3,4,4,2,1,3,3,4,4,4,2,3,2,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,2,4,1,,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,2,2,2,1,1,1,1,2,2,1,4,4,3,3,3,4,4,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,,1,,1,2,1,,,,,,2,2,1,4,,,,1,,2,,,,,,,,,,2,1,1,1,1,2,2,1,1,2,1,2,1,2,1,2,2,2,1,3,3,2,4,2,4,2,3,3,4,2,3,2,4,4,4,2,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,3,3,4,1,,,,,,,,,,,,,,,2,3,3,1,1,4,2,3,2,3,2,3,1,3,3,3,3,3,3,3,2,1,2,1,3,3,3,4,2,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,3,3,4,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,2,3,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,3,4,,1,,,,,,,,,,,,,,2,1,1,1,1,2,2,2,2,2,1,2,2,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,3,4,,1,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,3,2,2,3,3,3,3,2,4,3,3,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,3,4,1,,,,,,,,,,,,,,,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,3,4,,1,,,,,,,,,,,,,,2,1,1,1,1,2,2,1,1,2,1,2,1,3,1,1,2,2,2,1,2,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,3,4,1,,,,,,,,,,,,,,,2,1,1,1,1,2,2,1,1,1,1,2,1,3,1,2,2,2,1,1,1,1,2,3,2,4,4,4,4,3,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,1,3,4,1,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,2,3,1,2,1,3,1,2,2,2,2,2,1,3,2,2,3,3,3,3,3,2,3,2,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,,1,,1,1,1,,,,,,1,2,3,4,,1,,,,,,,,,,,,,,2,1,2,2,2,1,1,1,2,3,2,4,3,3,2,4,4,4,2,3,2,1,2,2,2,1,2,2,4,2,2,2,3,4,4,3,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,1,2,2,4,,1,,,,,,,,,,,,,,2,1,1,1,1,2,3,4,3,3,2,2,2,3,3,3,3,3,2,3,3,3,4,3,4,3,3,2,4,2,3,2,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,4,4,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,2,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,3,4,1,1,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,1,2,2,1,4,1,2,3,3,2,4,2,1,4,3,4,4,2,2,3,2,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,2,2,,,,1,,,2,3,3,4,1,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,3,4,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,4,3,2,1,1,1,1,1,1,4,4,3,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,3,4,,,1,,,4,,,,,,,,,,3,1,1,1,1,2,2,2,2,2,2,4,2,3,2,3,3,3,2,2,3,2,2,1,3,3,4,4,3,3,3,3,4,4,4,4,4,4
IMGDMajor,0,0,IMGDMajor,1,,,1,2,1,,,,,,2,3,4,4,1,,,,,,,,,,,,,,,2,1,1,1,1,1,1,2,2,1,1,2,1,3,1,2,2,2,,,,,,,,,,,,,,,,,,,,
IMGDcourse,0,0,IMGDcourse,1,,,2,1,,,,,,1,1,3,3,4,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,1,3,3,4,1,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,1,2,1,2,2,4,2,2,3,3,2,2,3,2,3,3,2,4,3,3,3,3,3,3,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,1,2,1,,,,,,2,2,3,4,1,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,2,2,1,3,1,4,1,3,3,4,1,2,2,1,4,3,2,3,4,3,2,3,4,2,4,4,4,4,4,4
,1,0,IMGDGrads,1,,,2,2,,,,1,,,2,2,4,5,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4
,1,0,IMGDGrads,1,,,2,2,1,,,,,,1,2,3,5,,,,,,,,,,,,,,,,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,4,2,1,1,1,3,1,2,2,2,3,1,2,2,4,3,2,4,4,4
IMGDMajor,1,0,IMGDMajor,1,,,2,2,1,,,,,,2,3,3,5,,,,,,,,,,,,,,,,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,2,3,3,2,2,1,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,,1,,2,2,,,,1,,,2,2,3,5,,,,,,,,,,,,,,,,2,1,1,1,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,3,4,4,4,4,4,4,4,4,2,4
,1,0,IMGDGrads,1,,,1,2,,,,1,,,2,2,3,5,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,3,1,1,1,1,1,1,1,4,4,3,4,4,4,2,4,4,4,4,4,4
IMGDMajor,1,0,IMGDMajor,,1,,2,2,1,,,,,1,2,1,2,5,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4
,1,0,IMGDGrads,1,,,1,2,1,,,,,,1,2,3,5,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,2,2,2,2,2,1,3,2,1,2,2,2,2,2,2,2,2,1,4,4,3,3,3,4,4,3,4,4,4,4,4
,1,0,IMGDGrads,1,,,2,2,,,,1,,,2,2,3,5,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,3,2,4,4,4,4,4,4,4,4,4,4
,1,0,IMGDGrads,,1,,1,2,1,,,,,,1,2,4,5,,,,,,,,,,,,,,,,2,1,1,1,1,2,1,2,1,2,1,1,1,3,1,1,1,1,2,2,1,1,1,2,1,3,4,4,4,3,4,4,3,4,4,4,4,4
IMGDMajor,0,0,IMGDMajor,,1,,1,2,1,,,,,,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMGDMajor,1,0,IMGDMajor,1,,,2,2,,,,1,,,2,2,4,5,,,,,,,,,,,,,,,,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4
,1,0,IMGDGrads,1,,,2,2,,,,1,,,2,2,3,5,,,,,,,,,,,,,,,,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4
IMGDcourse,1,0,IMGDcourse,,1,,1,2,1,,,,,,1,2,3,6,,,,1,,1,,,,,,,,,,2,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2,3,3,2,1,2,1,2,3,1,1,1,2,4,3,4,2,4,4,4,3,4,4
IMGDcourse,1,0,IMGDcourse,1,,,1,2,,,,1,,,1,2,3,6,,,,1,,2,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4
IMGDcourse,0,0,IMGDcourse,,,1,1,2,1,,,,,,1,2,2,6,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMGDcourse,1,0,IMGDcourse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
